name,team,pos,age,GP,GS,MPG,PTS,REB,OREB,DREB,AST,STL,BLK,TOV,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%
Isaiah Hartenstein,OKC,C,26,57,53,27.9,11.2,10.7,2.9,7.9,3.8,0.8,1.1,1.7,4.9,8.4,0.581,0.0,0.3,0.0,1.4,2.1,0.675
Isaiah Jackson,IND,C,23,5,1,16.8,7.0,5.6,2.2,3.4,1.0,0.6,1.6,1.0,2.8,4.6,0.609,0.0,0.0,,1.4,2.8,0.5
Isaiah Joe,OKC,SG,25,74,16,21.7,10.2,2.6,0.6,2.1,1.6,0.6,0.1,0.5,3.5,7.9,0.44,2.6,6.3,0.412,0.6,0.8,0.821
Isaiah Mobley,PHI,PF,25,1,0,17.0,6.0,4.0,1.0,3.0,5.0,1.0,1.0,0.0,2.0,7.0,0.286,1.0,3.0,0.333,1.0,2.0,0.5
Isaiah Stevens,MIA,PG,24,3,0,2.0,0.0,0.7,0.0,0.7,0.0,0.3,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,
Isaiah Stewart,DET,C,23,72,4,19.9,6.0,5.5,1.8,3.7,1.7,0.4,1.4,0.9,2.4,4.4,0.559,0.2,0.7,0.321,0.9,1.2,0.759
Isaiah Wong,CHO,SG,24,20,0,13.3,6.0,1.6,0.7,0.9,1.4,0.6,0.0,0.9,2.1,5.3,0.39,0.7,1.7,0.394,1.3,1.7,0.735
Ivica Zubac,LAC,C,27,80,80,32.8,16.8,12.6,3.8,8.9,2.7,0.7,1.1,1.6,7.4,11.8,0.628,0.0,0.0,,2.0,3.0,0.661
JD Davison,BOS,PG,22,16,0,5.8,2.1,0.8,0.1,0.7,0.8,0.3,0.1,0.8,0.8,2.1,0.353,0.3,1.1,0.222,0.3,0.4,0.714
JT Thor,2TM,PF,22,20,0,12.5,3.6,2.4,1.0,1.4,0.3,0.4,0.5,0.5,1.3,3.0,0.424,0.3,1.1,0.286,0.8,1.1,0.682
Ja Morant,MEM,PG,25,50,50,30.4,23.2,4.1,0.7,3.4,7.3,1.2,0.2,3.7,8.1,17.8,0.454,1.8,5.7,0.309,5.3,6.4,0.824
Ja'Kobe Walter,TOR,SG,20,52,18,21.2,8.6,3.1,1.1,1.9,1.6,0.8,0.2,1.0,3.1,7.6,0.405,1.3,3.6,0.349,1.3,1.6,0.795
