leaderboard,rank,player,team_or_v1,v2,v3,v4
points_per_game,9,Devin Booker,PHX,26.1,,
points_per_game,10,Jalen Brunson,NYK,26.0,,
points_per_game,11,Kevin Durant,HOU,26.0,,
points_per_game,12,Jamal Murray,DEN,25.4,,
points_per_game,13,Victor Wembanyama,SAS,25.0,,
points_per_game,14,Deni Avdija,POR,24.2,,
points_per_game,15,Pascal Siakam,IND,24.0,,
points_per_game,16,Cade Cunningham,DET,23.9,,
points_per_game,17,James Harden,TOT,23.6,,
points_per_game,18,Jalen Johnson,ATL,22.5,,
points_per_game,19,Paolo Banchero,ORL,22.2,,
points_per_game,20,Norman Powell,MIA,21.7,,
points_per_game,21,Trey Murphy III,NOP,21.5,,
points_per_game,22,Brandon Ingram,TOR,21.5,,
points_per_game,23,Julius Randle,MIN,21.1,,
points_per_game,24,Cooper Flagg,DAL,21.0,,
points_per_game,25,Zion Williamson,NOP,21.0,,
double_doubles,1,Karl-Anthony Towns,NYK,56,75,
double_doubles,2,Nikola Jokic,DEN,55,65,
double_doubles,3,Jalen Johnson,ATL,49,72,
double_doubles,4,Victor Wembanyama,SAS,42,64,
double_doubles,5,Jalen Duren,DET,41,70,
double_doubles,6,Cade Cunningham,DET,38,64,
double_doubles,7,Donovan Clingan,POR,37,77,
double_doubles,8,Bam Adebayo,MIA,35,73,
double_doubles,9,Luka Doncic,LAL,34,64,
double_doubles,10,Alperen Sengun,HOU,34,72,
double_doubles,11,Rudy Gobert,MIN,33,76,
double_doubles,12,Scottie Barnes,TOR,30,80,
double_doubles,13,Josh Giddey,CHI,28,54,
double_doubles,14,Evan Mobley,CLE,27,65,
double_doubles,15,Paolo Banchero,ORL,26,72,
double_doubles,16,Chet Holmgren,OKC,25,69,
double_doubles,17,Kel'el Ware,MIA,24,77,
double_doubles,18,Ivica Zubac,TOT,24,48,
double_doubles,19,Nikola Vucevic,TOT,23,64,
double_doubles,20,Deandre Ayton,LAL,22,72,
double_doubles,21,Jarrett Allen,CLE,20,56,
double_doubles,22,Moussa Diabate,CHA,20,73,
double_doubles,23,James Harden,TOT,20,70,
double_doubles,24,Amen Thompson,HOU,20,79,
double_doubles,25,Giannis Antetokounmpo,MIL,19,36,
